FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Ambrysus melanopterus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus mormon,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus occidentalis,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus pulchellus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus puncticollis,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus relictus,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus thermarum,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ambrysus woodburyi,5,Ambrysus,Ambrysus,Insecta,Hemiptera,P,,Ambrysus
Ameletus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus amador,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus andersoni,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus bellulus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus celer,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus cooki,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus dissitus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus doddsianus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus edmundsi,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus exquisitus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus falsus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus imbellis,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus majusculus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus minumus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus oregonensis,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus pritchardi,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus quadratus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus shepardi,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus similior,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus sparsatus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus subnotatus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus suffusus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus tolae,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus validus,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus vancouverensis,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus velox,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Ameletus vernalis,0,Ameletus,Ameletus,Insecta,Ephemeroptera,CG,,Ameletus
Americorophium,4,Americorophium,Americorophium,Malacostraca,Amphipoda,CF,,Americorophium
Americorophium lacustre,4,Americorophium,Americorophium,Malacostraca,Amphipoda,CF,,Americorophium
Americorophium salmonis,NA,Americorophium,Americorophium,Malacostraca,Amphipoda,CF,,Americorophium
Americorophium spinicorne,4,Americorophium,Americorophium,Malacostraca,Amphipoda,CF,,Americorophium
Americorophium stimpsoni,4,Americorophium,Americorophium,Malacostraca,Amphipoda,CF,,Americorophium
Ametor,5,Ametor,Ametor,Insecta,Coleoptera,CG,,Ametor
Ametor,5,Ametor,Ametor,Insecta,Coleoptera,P,,Ametor
Ametor latus,5,Ametor,Ametor,Insecta,Coleoptera,P,,Ametor
Ametor latus,5,Ametor,Ametor,Insecta,Coleoptera,CG,,Ametor
Ametor scabrosus,5,Ametor,Ametor,Insecta,Coleoptera,CG,,Ametor
Ametor scabrosus,5,Ametor,Ametor,Insecta,Coleoptera,P,,Ametor
